date, value
1991-10-29 00:00:00, 90.48
1991-10-30 00:00:00, 89.91
1991-10-31 00:00:00, 89.94
1991-11-01 00:00:00, 88.73
1991-11-04 00:00:00, 88.44
1991-11-05 00:00:00, 88.5
1991-11-06 00:00:00, 88.44
1991-11-07 00:00:00, 88.71
1991-11-08 00:00:00, 88.91
1991-11-11 00:00:00, 88.65
1991-11-12 00:00:00, 88.7
1991-11-13 00:00:00, 88.42
1991-11-14 00:00:00, 88.27
1991-11-15 00:00:00, 87.86
1991-11-18 00:00:00, 87.5
1991-11-19 00:00:00, 87.06
1991-11-20 00:00:00, 87.12
1991-11-21 00:00:00, 87.14
1991-11-22 00:00:00, 86.63
1991-11-25 00:00:00, 86.65
1991-11-26 00:00:00, 87.6
1991-11-27 00:00:00, 87.84
1991-11-29 00:00:00, 88.19
1991-12-02 00:00:00, 87.74
1991-12-03 00:00:00, 87.51
1991-12-04 00:00:00, 87.1
1991-12-05 00:00:00, 86.68
1991-12-06 00:00:00, 85.75
1991-12-09 00:00:00, 86.01
1991-12-10 00:00:00, 86.25
1991-12-11 00:00:00, 86.26
1991-12-12 00:00:00, 86.48
1991-12-13 00:00:00, 86.62
1991-12-16 00:00:00, 86.02
1991-12-17 00:00:00, 85.89
1991-12-18 00:00:00, 85.88
1991-12-19 00:00:00, 85.48
1991-12-20 00:00:00, 84.46
1991-12-23 00:00:00, 83.72
1991-12-24 00:00:00, 83.85
1991-12-26 00:00:00, 83.31
1991-12-27 00:00:00, 83.67
1991-12-30 00:00:00, 83.74
1991-12-31 00:00:00, 83.53
1992-01-02 00:00:00, 83.88
1992-01-03 00:00:00, 84.42
1992-01-06 00:00:00, 83.11
1992-01-07 00:00:00, 82.84
1992-01-08 00:00:00, 82.96
1992-01-09 00:00:00, 85.32
1992-01-10 00:00:00, 86.51
1992-01-13 00:00:00, 86.16
1992-01-14 00:00:00, 86.67
1992-01-15 00:00:00, 88.18
1992-01-16 00:00:00, 87.83
1992-01-17 00:00:00, 86.39
1992-01-20 00:00:00, 86.27
1992-01-21 00:00:00, 86.15
1992-01-22 00:00:00, 86.26
1992-01-23 00:00:00, 86.94
1992-01-24 00:00:00, 86.37
1992-01-27 00:00:00, 87.41
1992-01-28 00:00:00, 87.05
1992-01-29 00:00:00, 86.98
1992-01-30 00:00:00, 87.58
1992-01-31 00:00:00, 87.49
1992-02-03 00:00:00, 87.08
1992-02-04 00:00:00, 86.7
1992-02-05 00:00:00, 86.25
1992-02-06 00:00:00, 86.1
1992-02-07 00:00:00, 85.29
1992-02-10 00:00:00, 86.1
1992-02-11 00:00:00, 86.93
1992-02-12 00:00:00, 87.5
1992-02-13 00:00:00, 88.28
