date,r_coffee,r_china_gdp_yoy_forecast,r_coffee_inventory,r_coffee_nearby,r_coffee_total_consumption_usda,r_colombia_coffee_exports,r_crude_nearby,r_non_commercial_net_position,r_sugar_nearby,r_vix_index
1990-01-29,-0.005835945098886963,,,-0.013671875,,,0.010638297872340496,,0.0006729475100941684,0.0060882800608828
1990-01-30,0.010001087074682058,,,-0.005321782178217771,,,-0.014912280701754432,,-0.028917283120376558,0.030635400907715438
1990-01-31,-0.003874717468517863,,,-0.004728132387706974,,,0.00979519145146912,,0.020083102493074767,-0.06935779816513765
1990-02-01,-0.003997839005942638,,,0.00812601575196914,,,0.0008818342151675207,,0.004752206381534396,-0.019321766561514186
1990-02-02,0.002820568453026695,,,-0.0032242063492063933,,,0.014096916299559448,,0.0006756756756756133,-0.022114997989545637
1990-02-05,-0.010276936391172664,,,-0.004229907937297717,,,-0.027367506516072893,,0.0033760972316001503,0.009046052631578982
1990-02-06,-0.00043720625204934915,,,0.0,,,0.005359535506922697,,-0.01749663526244949,0.006112469437652868
1990-02-07,0.002515035538545707,,,0.020239880059969906,,,-0.008440693025322132,,0.025342465753424692,-0.016200891049007793
1990-02-08,0.002617801047120283,,,0.005265735978447372,,,-0.010304659498207913,,-0.00734802939211765,-0.02140798682585421
1990-02-09,0.00021758050478681845,,,0.03617980265562193,,,-0.0158442734268901,,0.01749663526244949,-0.0033655868742110684
1990-02-12,0.001849031977376514,,,0.014225252762755547,,,0.013339466421343316,,-0.011904761904761862,0.029126213592232997
1990-02-13,0.001085658451851046,,,0.003245624203083386,,,-0.005901044030867109,,-0.025435073627844695,-0.025430680885972
1990-02-14,0.0004337924303221552,,,-0.008549971114962363,,,0.007762557077625631,,0.009615384615384581,-0.07196969696969702
1990-02-15,0.0069376693766938224,,,-0.009672532338888207,,,0.03488898957861353,,0.0027210884353741083,-0.10612244897959178
1990-02-16,-0.008827645602325407,,,0.009767004000941437,,,-0.01838879159369522,,0.0027137042062415073,0.054287163876205025
1990-02-20,-0.003149777343325666,,,0.012819018762382006,,,-0.010258697591436272,,-0.01962110960757779,0.09624639076034658
1990-02-21,0.0010895619960775704,,,0.03141180531584409,,,-0.020279405137449413,,0.00552104899930983,0.048726953467954415
1990-02-22,-0.0004353504571178446,,,0.01695671575189639,,,0.0004599816007360147,,0.010981468771448233,-0.056508999581414865
1990-02-23,0.003919860627177751,,,0.00427819218955694,,,-0.015172413793103412,,-0.018329938900203624,0.051020408163265474
1990-02-26,0.0055314533622559114,,,-0.0014199890770070223,,,0.017273576097105448,,-0.0027662517289074318,-0.005487547488391864
1990-02-27,0.0012943587531011325,,,-0.015095165171734815,,,-0.009637448370812374,,-0.004160887656033285,-0.036926994906621324
1990-02-28,0.006032532586448314,,,0.030764104842292195,,,-0.001853568118628357,,-0.0034818941504177747,-0.03085059497576037
1990-03-01,0.006103437198843542,,,0.04245232194806592,,,-0.01717734447539454,,-0.005590496156533842,-0.004092769440654842
1990-03-02,0.0020221370796085214,,,0.023255813953488413,,,0.008502598016060459,,0.016865776528460996,-0.025570776255707695
1990-03-05,-0.008390865639936296,,,0.05555555555555558,,,0.01077283372365323,,0.035245335176226744,0.03233364573570774
1990-03-06,0.002463581833761719,,,-0.03665071770334927,,,-0.10426320667284528,,-0.008010680907877266,-0.0671811166591012
1990-03-07,-0.00235067849129178,,,0.012019469553988138,,,0.08277289187791004,,0.013458950201884257,-0.07055961070559602
1990-03-08,0.0026775195458927925,,,0.006085590891244719,,,-0.007166746297181059,,0.030544488711819362,0.03350785340314122
1990-03-09,0.0028839991454816527,,,-0.07141463414634142,,,-0.01684311838306074,,0.014819587628865927,0.028368794326241176
1990-03-12,0.005751411225902725,,,-0.02027736919520917,,,-0.00930004894762615,,-0.011428571428571455,-0.011330049261083719
1990-03-13,-0.0015884782378482454,,,0.03217158176943702,,,-0.0009881422924901129,,0.010276172125883054,0.04882909815645253
1990-03-14,-0.0008485362749257597,,,-0.02753246753246763,,,-0.008407517309594326,,-0.012078830260648488,-0.06650831353919251
1990-03-15,-0.004883227176220917,,,0.02029914529914545,,,0.016458852867830442,,0.025096525096525157,-0.042748091603053484
